id,type,title,owner_name,channel_name,channel_url,created_at_iso,like_count,share_count,lang,hashtags,post_url,poster_url
1i21q9p3j8aCADvnV2uC30xU71df1c,Video,錯過要等一年！秋日最夯「幸福土雞農場親子闖關活動」 11/8 盛大登場🔥,幸福土雞農場,幸福土雞農場,https://www.ganjingworld.com/channel/1h5gjn85sd61VPsmBpsptPUnU1r60c,2025-10-26T12:03:53.045000Z,9,18,zh-TW,#假日好去處;#家庭時光;#幸福土雞農場;#活動精華;#秋天活動;#親子同樂;#親子活動;#親子節目;#週末去哪玩;#闖關遊戲;#限時報名,https://www.ganjingworld.com/zh-TW/video/1i21q9p3j8aCADvnV2uC30xU71df1c,https://image5-us-west.cloudokyo.cloud/image/v3/4b/45/3f/4b453fa2-f762-4ba5-96f0-c8a65dcbff86/672.webp
1h7iard2tnb4KU8kVGHje1L6U18m1c,Shorts,#幸福土雞農場 2024年11月23日 19:22:25,柔之館 食味鮮,柔之館 食味鮮,https://www.ganjingworld.com/channel/1g1tuo8652k1E2h5eQ9BfRP3X1520c,2024-11-23T11:22:26.153000Z,2,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/shorts/1h7iard2tnb4KU8kVGHje1L6U18m1c,https://image5-us-west.cloudokyo.cloud/image/v1/d8/e4/0c/d8e40c61-dbc3-406d-b09a-d603a2232886/672.webp
1i2daj6m5tg4NVlY0UbcuMiMD1e61c,News,【2025】第2屆－幸福土雞農場之農場大冒險親子闖關活動,幸福土雞農場,幸福土雞農場,https://www.ganjingworld.com/channel/1h5gjn85sd61VPsmBpsptPUnU1r60c,2025-10-31T01:54:46.266000Z,15,16,zh-TW,#土雞;#市集;#幸福土雞農場;#花博;#親子;#闖關活動;#食農教育,https://www.ganjingworld.com/zh-TW/news/1i2daj6m5tg4NVlY0UbcuMiMD1e61c,https://image3-us-west.cloudokyo.cloud/image/v3/26/c9/9b/26c99bb7-8d81-4cc4-9216-6817b51f71d9/672.webp
1i18vj9slborzQmY9ikOYkAMZ1nq1c,Post,,臻的教學及生活手札,臻的教學及生活手札,https://www.ganjingworld.com/channel/1ft4sklrcdr5QSRrwnPbPQgem1vf0c,2025-10-16T15:02:07.883000Z,15,7,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1i18vj9slborzQmY9ikOYkAMZ1nq1c,
1h7hr92hgi53FnvT8q9SnkngD1ad1c,Post,,mavis88888888,mavis88888888,https://www.ganjingworld.com/channel/1h7hmeq7enc2sluPi8yLRHniS1h20c,2024-11-23T06:43:44.989000Z,3,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7hr92hgi53FnvT8q9SnkngD1ad1c,
1i21p7qkf7h3UWUuo4UDd5V2F1201c,Post,,幸福土雞農場,幸福土雞農場,https://www.ganjingworld.com/channel/1h5gjn85sd61VPsmBpsptPUnU1r60c,2025-10-26T11:44:53.796000Z,32,20,zh-TW,#中華民國禽肉行銷協會;#假日放電;#國產土雞;#土雞;#土雞料理食品;#好禮美食不間斷;#市集;#幸福土雞農場;#花博;#親子;#親子闖關活動,https://www.ganjingworld.com/zh-TW/post/1i21p7qkf7h3UWUuo4UDd5V2F1201c,https://image1-us-west.cloudokyo.cloud/image/v3/94/3e/b7/943eb77d-9398-458a-89a0-bc9f43ddb308/360.webp
1h7i21aregd5Iof5NZn5eUH2C1ht1c,Shorts,#幸福土雞農場,小小善種子,小小善種子,https://www.ganjingworld.com/channel/1gq0vk6dse73Lc1mqwhvQUBNR1lr0c,2024-11-23T08:44:41.461000Z,30,2,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/shorts/1h7i21aregd5Iof5NZn5eUH2C1ht1c,https://image1-us-west.cloudokyo.cloud/image/v1/9f/f1/8f/9ff18fb5-78bb-4562-8aac-7589b74f1d2e/672.webp
1h7igrv4mk36DbJovkn6pwkAg1ub1c,News,幸福土雞農場 | #透明的回憶 2024.11.23,透明的回憶,透明的回憶,https://www.ganjingworld.com/channel/1fdmmqfgc6h13tNqlsL3LZ1T81ne0c,2024-11-23T13:10:07.536000Z,25,2,zh-TW,#中華民國禽肉行銷發展協會;#大紀元時報;#幸福土雞農場;#美食奇遇記;#農業部;#透明的回憶,https://www.ganjingworld.com/zh-TW/news/1h7igrv4mk36DbJovkn6pwkAg1ub1c,https://image3-us-west.cloudokyo.cloud/image/v1/07/dd/2e/07dd2eb9-dfd7-42f5-b5a8-5aa94c44fdd0/672.webp
1h8gksfib0q6wQdsm59y8oOSg12p1c,Post,,幸福土雞農場,幸福土雞農場,https://www.ganjingworld.com/channel/1h5gjn85sd61VPsmBpsptPUnU1r60c,2024-12-05T12:41:51.879000Z,17,2,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h8gksfib0q6wQdsm59y8oOSg12p1c,
1h7ikuhcbnv7KljgOOp3F1JMq1ba1c,Video,幸福雞圈 #幸福土雞農場 | 2024.11.23.,透明的回憶,透明的回憶,https://www.ganjingworld.com/channel/1fdmmqfgc6h13tNqlsL3LZ1T81ne0c,2024-11-23T14:23:08.738000Z,16,4,zh-TW,#幸福土雞農場;#生活;#透明的回憶,https://www.ganjingworld.com/zh-TW/video/1h7ikuhcbnv7KljgOOp3F1JMq1ba1c,https://image1-us-west.cloudokyo.cloud/image/v1/ce/68/cc/ce68cc11-8544-4ff5-a518-42a62b29510c/672.webp
